,영화제목,개봉일,장르,누적관객수
150,미션임파서블:고스트프로토콜 (Mission: Impossible: Ghost Protocol),2011-12-15,액션,7508976
151,헝거게임: 판엠의 불꽃 (The Hunger Games),2012-04-05,액션,608273
152,미쓰 와이프 (Wonderful Nightmare),2015-08-13,코미디,988451
153,뷰티 인사이드 (The Beauty Inside),2015-08-20,판타지,2058096
154,부라더 (The Bros),2017-11-02,코미디,1492903
155,공모자들 (Traffickers),2012-08-29,범죄,1646142
156,임금님의 사건수첩 (The King's Case Note),2017-04-26,코미디,1635003
157,조작된 도시 (Fabricated City),2017-02-09,범죄,2515590
158,겟 아웃 (GET OUT),2017-05-17,공포(호러),2138524
159,바람과 함께 사라지다 (The Grand Heist),2012-08-08,코미디,4909950
160,이웃사람 (The Neighbors),2012-08-22,스릴러,2434435
161,루시 (LUCY),2014-09-03,액션,1974893
162,곤지암 (GONJIAM: Haunted Asylum),2018-03-28,공포(호러),2675883
163,램페이지 (Rampage),2018-04-12,액션,1385511
164,어메이징 스파이더맨 (The Amazing Spider - Man),2012-06-28,액션,4853273
165,회사원 (A Company Man),2012-10-11,액션,1110523
166,레미제라블 (Les Miserables),2012-12-19,드라마,5921913
167,협상 (THE NEGOTIATION),2018-09-19,범죄,1967721
168,불한당: 나쁜 놈들의 세상 (The Merciless),2017-05-17,범죄,958498
169,보헤미안 랩소디 (Bohemian Rhapsody),2018-10-31,드라마,9948386
170,치외법권 (Untouchable Lawmen),2015-08-27,액션,346483
171,목격자 (The Witness),2018-08-15,스릴러,2524720
172,그레이의 50가지 그림자 (Fifty Shades of Grey),2015-02-26,드라마,364415
173,앤트맨 (Ant-Man),2015-09-03,액션,2847712
174,드래곤 길들이기 2 (How To Train Your Dragon 2),2014-07-23,애니메이션,3000115
175,굿바이 싱글 (Familyhood),2016-06-29,코미디,2108561
176,엑스맨: 아포칼립스 (X-Men: Apocalypse),2016-05-25,액션,2938818
177,마이펫의 이중생활 (The Secret Life of Pets),2016-08-03,애니메이션,2520700
